index,GSM1282761,GSM1282762,GSM1282763,GSM1282764,GSM1282765,GSM1282766,GSM1282767,GSM1282768,GSM1282769,GSM1282770,GSM1282771,GSM1282772,GSM1282773,GSM1282774,GSM1282775,GSM1282776,GSM1282777,GSM1282778
C3ORF10,724.1357299,775.7815056,1725.773629,99.74428494,1798.870358,120.5928619,1666.763354,380.5929933,1362.87369,546.5619711,1862.415986,900.2733813,926.7113954,400.4181776,1821.854241,1085.61525,1436.287443,2130.169791
C3ORF14,2.863303599,1.057594042,451.1044905,375.439006,654.6345854,1.021846016,2.251189292,54.83009447,150.8013229,160.7260721,198.7118699,1.301077821,186.3053087,27.74258271,1.091753267,933.1340781,500.0530027,489.2926634
C3ORF15,28.48439481,70.94909261,122.7237237,156.3476153,103.49176,60.63031326,155.267754,231.8364115,241.7271171,171.7422422,320.4112848,66.68646806,59.14140389,95.99080857,100.7881948,182.8638038,169.8666083,182.1684421
C3ORF17,309.2493893,291.4017673,246.7110732,230.9568492,222.6096707,112.1793227,262.7857214,145.0679802,262.1654512,343.8255897,236.0916567,350.4806039,165.6182165,208.2521203,316.3207433,414.318221,263.0801188,259.4107996
C3ORF18,415.5250172,96.71466163,241.7711882,57.17889836,171.2341371,86.02368051,381.4463465,92.28304305,139.1032557,189.0893841,104.0191498,131.1179264,177.176207,344.2762002,96.04712716,420.7440081,122.7581712,119.0454616
C3ORF19,2095.476185,552.5195459,2041.616985,518.7024554,868.2085844,2026.886056,1263.253733,825.8999033,1965.951923,1600.858759,2112.917443,247.1676106,1211.926648,875.3064797,1671.567126,3095.209153,1984.384498,2763.433092
C3ORF20,294.4837967,129.3897447,91.39935062,70.9258512,134.8439171,185.1878288,114.85465,30.83795693,1.402363895,198.9044657,6.401974631,77.62886001,31.08997842,311.8065569,1.216076958,82.23630927,8.474120141,61.05166613
C3ORF21,963.5087113,902.2174155,1224.612122,163.2188197,914.847985,254.5918287,694.3345037,429.5426605,1124.983737,750.379788,528.2585401,969.9631904,692.7918437,612.0384853,657.5788421,924.1379347,1476.135077,1064.390053
C3ORF22,165.980433,512.224654,434.4391707,433.9811691,139.289074,243.4332411,116.228134,529.2191278,281.722392,84.19244153,108.0658527,310.0705669,187.4812434,306.1564145,215.2761241,135.9293304,149.2213753,196.5451008
C3ORF23,48.87553555,1.278437404,1.722230803,1.692307188,1.4087191,1.125118092,4.699708884,46.57009965,1.860251481,23.71737258,40.14361062,20.01906526,1.206941352,27.11393883,1.078645658,1.219651761,32.58964323,1.320540635
C3ORF24,124.7522988,175.4555631,129.3897447,116.8406982,1.329279041,180.4588948,207.2279817,394.9067776,90.92841246,273.2564764,1.261357792,192.539214,96.40731702,436.7873651,302.4074324,289.6530543,47.64733041,58.09958943
C3ORF25,181.067441,146.9031713,66.24533394,152.2153485,58.83305938,521.1669941,69.89549094,34.29817053,50.3048782,133.9757249,73.62391069,290.3287633,172.0619391,516.870023,36.9494906,95.26948329,42.93474637,116.1410109
C3ORF26,308.4160325,548.6178201,371.1376967,230.2607672,599.7087045,473.6033584,326.1853463,307.6067215,591.8399642,360.9142738,596.5218303,371.7526283,270.186224,416.0995735,397.418955,243.65933,649.0364226,761.4512521
C3ORF27,6.778098665,110.4193488,60.76343899,132.6933639,1.101683275,435.4741259,12.59670199,124.8152507,101.3195988,179.8751571,34.36479638,107.0643987,96.10022353,252.5887574,185.4057679,1.117968487,17.17128036,93.94337824
C3ORF30,21.68914998,42.60004358,54.85221139,10.75213212,35.42626276,25.33730382,105.3389821,218.4223386,12.66003684,133.7791689,68.38741842,64.41101132,172.802328,47.78054257,154.3892273,101.0006414,84.56825804,75.164563
C3ORF31,114.2629872,1.307035825,1.344769853,1.193833742,143.5473382,1.440508617,1.398391892,4.569099783,32.71512612,4.600270599,86.62094639,182.8280133,208.2521203,31.22828598,1.291545014,2.019409975,48.70165064,251.525293
C3ORF32,224.9969912,61.30884466,365.4162481,209.9977696,185.1092046,275.8463265,69.99087879,204.2411938,233.2946648,51.08464719,52.6892155,233.8003333,332.9517921,953.6681095,480.4493775,14.88581476,42.63084868,208.7460402
C3ORF33,710.4206674,1200.591848,931.9871502,642.0488533,550.0809517,651.3197598,706.8946473,130.3748394,1038.821109,826.6325055,1186.192725,1490.08515,560.2931225,814.6925248,696.8589763,956.5016446,1235.331505,1228.095789
C3ORF34,117.6523612,302.6791782,285.9578503,1.314582631,303.9219524,121.7752487,318.4684021,182.923171,143.8218864,256.326165,201.720088,396.2219924,148.3243192,122.8756042,155.5200156,1.246264181,247.4687652,133.6132564
C3ORF35,41.45878336,278.6252729,179.1354101,384.5877952,61.18931755,41.11757547,107.9115556,38.01048091,58.42379077,220.9646186,165.1461113,235.7412115,161.0610762,600.464622,161.1301156,181.6145547,215.4475654,257.2848414
C3ORF36,29.06975531,17.02736289,22.13357271,19.21767486,56.05213806,23.87449007,76.33842333,19.83250844,13.15657991,20.18145881,71.6723526,47.33978866,11.86146268,5.879919221,6.75706037,10.35498728,60.04178604,21.80510111
C3ORF37,441.3154293,775.6389702,1207.910621,647.5228855,1560.687441,732.703952,919.6373023,280.4312197,1136.684338,357.0305436,1591.694209,610.995674,745.1066546,340.5793813,958.4773225,727.2124269,1140.206772,1696.431187
C3ORF38,717.3359448,2166.596854,733.1572465,1784.621962,1191.147165,403.6193702,1032.79943,1973.515533,955.2171534,1073.247628,1422.277714,1021.698208,1023.46215,720.8234544,1519.312753,1166.835641,1334.358918,1196.447848
C3ORF39,1224.024554,522.7456153,835.1564767,1638.24671,1159.514654,2095.476185,480.0310229,997.4298523,1074.645752,283.5709044,619.0354234,399.2802497,755.0487748,1285.926028,701.7565514,703.0308002,721.4560455,463.5826594
C3ORF42,22.39227561,431.7784447,254.8013967,176.8894591,328.3341062,333.0223451,198.3233103,539.5114196,165.944623,566.3069904,363.132258,192.011163,110.0687023,334.8180656,484.8767455,289.1136055,251.8365768,210.7060772
C3ORF44,99.34452398,38.08930082,31.56115771,174.5907022,75.47943063,150.2090322,21.47969155,170.452674,12.38312152,91.16750376,1.365821468,67.32101126,18.62999049,72.24563246,16.63599302,49.35413802,5.907607779,28.60290657
C3ORF45,66.43671731,32.24513314,177.2058754,285.8268551,136.0473176,324.7816329,178.446465,269.7114272,133.8359611,70.47844529,50.41271241,226.6686797,234.6690898,277.8111019,409.8839824,187.4431682,35.53808638,84.9131479
C3ORF48,150.0530628,100.4772905,2.540187518,6.976067486,13.94505301,8.888548976,44.37689415,652.5727503,144.6749642,286.7772435,36.76867624,128.4597503,1.398789092,251.3781421,301.0282285,92.92127335,12.08325523,69.67137271
C3ORF52,624.4228904,687.6510894,453.0676008,209.7675999,779.7026145,242.6852269,680.416232,340.3810583,861.0371961,439.8084575,549.3873495,588.2354725,548.1355346,702.7691682,1032.002073,873.0011767,707.3914433,638.8263187
C3ORF54,239.8162989,77.41654371,304.7595078,305.4437944,887.8604527,352.2629478,596.642338,256.5142869,284.9359839,104.8152561,315.0768596,133.749345,338.5269792,180.1585954,314.7298955,341.620754,358.7092159,403.836478
C3ORF56,755.1950977,657.9127401,462.1183709,244.4460223,2.351395934,338.5269792,13.13321783,936.4135507,231.0828751,117.3051664,12.71441843,222.004353,863.9803839,1055.069896,338.9134961,721.7222205,1.421429509,202.4759206
C3ORF57,2.718128475,1.419046307,4.042082298,3.400812263,56.32630108,66.87500491,40.6613912,31.37280187,4.796712998,7.419817964,119.426847,47.02138807,4.189684254,4.578695332,1.879008469,3.151792551,6.327294665,20.82511414
C3ORF58,704.9075665,534.6326797,889.6991231,592.8029025,940.3170192,412.1081143,735.3410601,685.1763092,1263.53653,1039.026027,976.5085821,1039.026027,278.9772609,592.9963387,556.5802732,954.7019346,1203.985821,1008.654281
C3ORF59,159.7191241,397.6992325,429.0799326,123.1528677,248.0110004,102.6405339,318.8173676,101.2577969,328.7003814,350.0235701,407.1855933,368.5036357,359.4632024,345.6115464,381.8885915,394.7662493,524.0643302,541.8678861
C3ORF60,1958.651721,2973.860338,2348.652,2433.431749,1635.160526,2868.764471,2210.161189,1547.908108,2411.05,2199.857475,2039.54307,2218.069078,1396.776139,2815.493967,2230.046217,2820.698348,1908.874215,1974.125082
C3ORF62,16.74443892,13.33808163,9.115516539,38.06747953,18.2207178,16.30680548,86.72324885,43.70087233,42.13956625,112.0564199,71.35812959,31.3084803,6.949761494,4.692056943,16.21564119,4.912480716,3.040799391,1.836057855
C3ORF63,157.3245912,476.889816,232.0743448,326.80987,101.2302161,316.6082057,105.8989221,262.9338013,342.3075708,615.6605471,172.8737605,345.557628,200.1183851,373.1443672,305.2805019,488.2793451,335.9947543,309.4545417
C3ORF64,758.3599607,129.9266437,522.1417881,210.1538401,1037.864948,463.4999358,683.0353345,295.7489465,729.8749273,554.5900228,639.8994355,224.0265351,461.6496844,318.2250093,755.4294908,496.2283838,482.2924787,567.795456
C3ORF65,29.43330044,197.046739,59.67188526,86.89241045,1.983188382,134.3990523,47.4600704,197.8550113,44.02555197,72.49184627,13.57998022,86.7718355,59.71437555,57.2628914,54.49726289,18.8135379,5.323249048,29.20162058
C3ORF67,11.68206686,43.66584362,17.99721922,49.86173129,20.07836265,34.83873433,41.81003615,33.5586726,42.49756488,43.16626444,64.6284072,39.20541939,16.15570174,13.10468582,9.139710411,39.46964254,16.77756342,15.04212704
C3ORF70,259.7096026,3.248390972,186.4010401,189.1985044,273.1572898,86.27494291,190.7050801,91.91859625,164.3469882,218.4617889,261.7282432,181.4758911,40.5884074,31.81206932,223.9773334,281.6340012,335.3491597,373.0706003
C4A,159.352585,97.82314483,460.2312975,401.0816956,136.3163089,312.2921954,304.1584757,346.8968522,430.2017935,282.3954969,285.140828,435.0016173,468.1886912,338.9134961,248.9748588,348.4384189,438.7835082,362.9439849
C4BPA,240.4614721,137.3204677,55.36061191,57.10496642,205.5867901,2.189620286,302.623603,100.2541286,32.44723481,153.5102451,275.4062546,56.86399629,26.51066102,210.7866833,14.61219258,79.09173831,171.6392275,249.5663387
C4BPB,240.3348393,6.837686169,125.9179415,196.8186652,246.5744752,376.5509106,383.3762265,369.5310067,83.90153276,92.9774225,567.4487149,1.544349793,151.6653273,243.4332411,175.1448621,500.9248348,383.1691785,246.9693123
C4ORF14,2162.146123,1243.397205,1475.296306,2316.098762,993.634388,2695.069377,1456.716582,2768.28251,2003.252168,1914.573878,2079.41559,2010.863022,2135.996618,1963.303481,1956.212619,1388.694782,1684.753269,1937.531529
C4ORF15,2.233040943,218.1620745,455.4297939,224.6526349,1.404349897,366.2712488,45.34085173,586.7002472,184.0330346,233.9928844,156.7133641,200.5802064,224.9969912,472.6214802,311.8661238,522.3942277,109.8444321,205.7045645
C4ORF16,202.5881381,168.3174243,258.8490269,94.43757472,186.130281,30.26107699,244.6677889,15.3345899,330.9072871,172.4421726,264.6107385,292.3595569,124.6347561,63.06532769,170.8891358,164.552651,245.8633695,125.948614
C4ORF17,214.1658627,6.133057885,110.9308828,2.678718457,4.600270599,941.1852728,67.91711625,457.6559998,137.5570365,166.7529275,116.5246022,21.31003499,87.02042428,195.6071752,384.0476347,1.929866218,7.044536706,64.85124614
C4ORF18,4391.556016,1652.99589,3540.488162,4774.746391,2733.72477,2949.064627,2202.003358,3507.356325,3304.166452,4726.784467,2164.931557,3767.96769,3219.929457,2497.651745,1759.522374,3958.62741,3270.023208,2904.525567
C4ORF19,488.2053375,167.6775223,114.4316096,699.3538218,234.6690898,489.7441302,786.5348231,497.7457945,573.0031174,391.2821859,957.2457113,494.2285284,247.0563823,519.4417736,661.722029,440.2678633,565.2949763,690.9868004
C4ORF21,215.750034,1.351125057,51.36137316,1.414677104,57.58613025,1.334839846,545.8298279,4.009339718,1.146964108,1.437718783,259.3250018,175.8836749,114.7279889,375.9424165,51.15106161,370.4356132,26.08551393,163.2188197
C4ORF22,1.160866118,2.107287592,2.358763725,3.332224937,5.752637126,1.595465519,10.37430081,1.188272938,1.418649107,1.306638625,43.93000011,1.601462607,1.356288661,1.241497777,1.419840708,3.238651715,19.21767486,1.174370928
C4ORF23,246.6215546,374.3355807,146.4418551,207.5609074,107.4765277,259.8566478,211.7532422,121.5376424,127.9008202,216.3894269,167.8181261,392.8642712,158.1973745,103.5427869,152.1751761,223.3227988,149.831429,132.9657608
C4ORF26,43.71849918,47.89732279,59.3023574,55.89351407,136.113407,79.40487234,149.0547865,57.39728861,25.99014655,115.9134407,31.27739313,253.0749493,101.8412969,23.67372536,123.1528677,56.39498517,35.17192062,46.89456307
C4ORF27,684.795364,435.1545692,487.5122713,659.4952793,458.4372879,424.6802098,325.5498989,208.7028232,643.577523,93.57452449,449.7811638,641.8213796,327.8768374,270.9798269,564.8217436,682.6508657,383.9836734,371.7526283
C4ORF28,143.8845981,372.0969324,131.6317976,11.24962497,170.5190134,588.9640886,40.71974259,2.294493889,331.3548473,196.5085061,304.2763068,392.2981454,447.7026537,55.6829282,325.5498989,360.9836158,208.6184019,250.8788559
C4ORF29,735.9145782,402.5152176,366.0752189,399.4296364,300.9226086,280.4312197,579.5838222,354.485031,410.9587184,618.4731851,370.9375501,529.5022647,411.8938927,201.1201976,221.0005063,239.1026293,243.65933,317.4333347
