index,GSM1648114,GSM1648115,GSM1648116,GSM1648117,GSM1648118,GSM1648119,GSM1648120,GSM1648121,GSM1648122,GSM1648123,GSM1648124
SIPA1L3,7.2114,7.0353,6.3624,7.4467,6.7593,6.5342,7.6319,6.8076,6.6053,6.7849,6.8943
SIRPA,22.7696,21.950200000000002,22.667,20.793,22.8709,22.428800000000003,21.998399999999997,21.0392,21.7409,20.6855,21.274
SIRPB1,8.4085,9.7404,7.5133,9.5765,10.0005,9.4363,8.1551,8.5375,10.6125,9.3501,6.22
SIRPD,6.6939,7.896,6.2068,6.4961,8.0341,7.2084,6.3946,6.5118,7.1806,7.1858,6.5221
SIRPG,19.4882,22.5376,21.1661,22.9899,24.9168,23.171400000000002,23.4628,21.9906,28.3417,26.9339,21.5839
SIRT1,9.4083,9.5505,9.5743,8.9738,9.4742,9.4364,9.9412,9.5856,9.1168,10.1191,9.314
SIRT2,16.1017,19.197,17.1251,15.9024,16.451,16.8111,16.889499999999998,17.5988,16.625799999999998,16.469,17.2611
SIRT3,14.104800000000001,13.5908,13.9032,13.1913,13.5596,13.174,14.057300000000001,14.1449,12.923200000000001,13.6366,14.0587
SIRT4,7.3152,6.1278,6.382,6.4272,6.8412,6.1957,6.677,6.9765,6.1395,6.1985,6.1737
SIRT5,38.5223,38.8354,37.3373,36.1457,35.6186,36.853,36.8853,37.3736,36.2361,35.9921,38.968199999999996
SIRT6,8.2295,6.9676,8.2435,7.5619,9.163,7.6055,7.2031,9.0352,8.2926,8.6829,7.6086
SIT1,7.0988,6.6063,6.788,7.8165,7.4798,7.1547,7.6705,7.5507,8.956,8.2324,6.7156
SIVA,20.5841,18.497,19.0716,18.535,19.3188,20.1692,18.1948,20.265900000000002,19.5832,19.5726,20.3542
SIVA1,19.6923,17.7045,18.936700000000002,18.9205,18.847,20.7322,17.3631,21.0751,19.698,19.203400000000002,20.1147
SIX1,7.2038,6.1976,6.189,6.4011,6.2999,6.281,6.3557,6.4327,6.0288,7.855,7.1673
