index,GSM1050643,GSM1050644,GSM1050645,GSM1050646,GSM1050647,GSM1050648,GSM1050649,GSM1050650,GSM1050651,GSM1050652,GSM1050653,GSM1050654,GSM1050655,GSM1050656,GSM1050657,GSM1050658,GSM1050659,GSM1050660,GSM1050661,GSM1050662,GSM1050663,GSM1050664,GSM1050665,GSM1050666,GSM1050667
TBC1D2B,14.422011,13.247605,14.094985000000001,13.332979,13.586206,13.892900000000001,13.841856,13.595667,13.597201,13.600313,13.467628,13.661059999999999,13.547581000000001,14.0371,13.222191,13.574042,13.994989,13.511869,13.646765,13.324098,13.277125999999999,13.745398999999999,13.811150999999999,13.588689,13.231049
TBC1D30,14.966113,15.00319,14.054703,14.855171,13.710851,14.391037,15.247157999999999,15.339777,14.740936,14.075454,13.870496,14.764755000000001,14.477468,13.759333,15.148539,15.155671,13.944927,14.564038,15.104273,14.017971,15.414383999999998,15.1651,14.230564000000001,15.181553000000001,13.117149999999999
TBC1D31,4.252491,4.452839,4.724299,4.37477,4.296955,4.284322,4.30285,5.493319,4.868517,5.159707,4.245271,5.666119,5.275967,4.481568,4.351879,4.516581,4.486872,4.077798,5.029415,4.114897,5.35893,4.581942,4.486897,4.909259,5.864957
TBC1D4,11.903917,13.650908999999999,10.841781000000001,11.031581,12.127794000000002,12.831652,11.14274,11.096827000000001,12.725023,13.050811,13.093546,12.227433999999999,11.692585,12.045221000000002,12.450741,11.976877,11.186003,11.703792,11.821381,12.377133,12.387094999999999,12.123802999999999,13.471853,11.906986,11.628503
TBC1D5,21.217482999999998,20.666411,21.730204,20.126952,21.328088,21.217616,20.608254000000002,21.126419,20.714011,19.698922,20.524127999999997,20.547952,19.950265,20.503827,20.755973,21.652952,21.665833,19.90295,20.706862,21.032167,20.989492000000002,22.705795,20.475929,21.584265,22.22165
TBC1D8,12.13021,13.156417000000001,12.335839,12.098547,11.813272999999999,11.804649000000001,12.759477,12.016614,11.967926,14.418795000000001,12.700819,12.519889,12.503117,12.339534,12.969908,11.645978,11.485336,12.716024,11.812902000000001,12.315243,12.174896,12.256073,13.319718,12.334299999999999,10.985286
TBC1D8B,5.022966,4.804805,5.377189,4.958469,4.648128,4.991614,5.781424,5.172734,5.570873,5.034621,4.630951,4.382927,4.66186,5.032092,5.025523,4.980933,4.721262,4.849908,4.814967,4.722826,4.700368,4.610901,4.758458,4.894255,4.747948
TBC1D9,14.546987,17.396302,16.492016,14.473656,17.726508,13.535997,14.743559999999999,13.937753,15.581479,13.939627,16.795172,14.354904000000001,14.61318,15.694499,14.204227,15.502131000000002,13.205881999999999,13.645174,12.947286,17.169116,16.234269,12.541243999999999,13.895363,14.684263999999999,12.349757
TBC1D9B,30.517800999999995,30.607823999999997,29.488186000000002,29.64485,30.025609,28.921379,30.255287,29.00495,30.107998000000002,28.365169,30.07313,28.249101,29.583758,28.799895000000003,30.319704,30.897528,29.655464000000002,29.401856,30.190231,30.309983,31.714889000000003,30.134002000000002,29.981144999999998,29.129173,28.273556
TBCA,8.529495,8.955245,8.861766,10.122909,9.72466,8.45372,8.906308,9.753438,9.673113,8.42691,9.758967,8.961023,9.644607,8.952225,9.864509,9.30237,9.281045,8.638123,8.983488,9.492609,9.923139,9.827057,9.568729,10.016285,9.691293
TBCAP2 /// TBCAP2,3.490246,3.246714,3.213076,3.259182,3.142345,3.269873,3.242116,3.291051,3.11252,3.365964,3.312294,3.251386,3.281007,3.291122,3.235147,3.421475,3.348694,3.281219,3.233066,3.429509,3.269803,3.216093,3.179053,3.386629,3.164868
TBCB,23.031245000000002,23.362068999999998,25.979302,26.010931,27.482178,24.609659999999998,22.566817,25.753313000000002,26.039547,25.968122,25.553106999999997,24.792911999999998,24.761332,24.023995,26.00916,25.401284,24.038946999999997,25.928501,23.774627,25.838410999999997,28.473997,24.558713,24.939919,26.734589,25.310324
TBCC,5.954167,6.589169,6.578027,6.93714,7.203996,6.955299,6.043778,7.112586,6.732875,6.43891,6.912986,6.87875,6.755434,6.966044,7.137076,6.879004,6.645165,6.934837,6.890487,6.911846,7.206559,6.893637,7.065124,6.775306,6.958076
TBCCD1,4.126161,4.0529,4.059761,3.957607,4.308849,4.040375,4.267529,4.518109,4.412094,4.356863,3.976443,4.250576,4.013825,4.36069,4.302208,4.150597,4.118385,4.08464,3.963212,4.354309,4.083197,4.243776,4.231984,4.250593,4.551522
TBCD,14.306535,16.129958000000002,14.036264,15.199909,12.981719,13.890701,12.767029,14.215918,13.043951,13.39852,13.546024,13.967832000000001,16.394614,14.404324,14.689681,13.308232,14.49052,13.793085999999999,14.366990000000001,14.319916,14.374787,13.969001,14.735779999999998,13.338716,14.01269
TBCE,11.460391,11.37918,11.387895,12.212797,12.36515,11.43268,11.588661,12.627590000000001,11.098241,11.369128,11.591829,12.582740999999999,11.525424000000001,11.818249999999999,11.869184,11.390813999999999,10.877778,11.341058,10.796050999999999,11.791381000000001,11.301749000000001,11.905461,11.698993000000002,12.954811,11.178163
