index,MGHCC1573,MGHCC1006,MGHCC0007,MGHCC0001-B,MGHCC1002,MGHCC1101,MGHCC0001-A,MGHCC1009,MGHCC1099,MGHCC1108,MGHCC1112,MGHCC0002
BMP2KL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024567,0.0,0.0,0.0
BMP3,0.007629,0.044274,0.0,0.0,0.0,0.0,0.0,0.0,1.208367,0.0,0.0,0.0
BMP4,1.100878,4.916687,13.798194,3.539998,2.069508,1.777527,5.601859999999999,1.4791,5.594291,12.281071,9.013904,6.049435
BMP5,0.095316,0.032657,0.124779,0.0,0.026776,4.175798,0.005153,0.045154,0.034656,0.173541,0.187613,0.044215
BMP6,0.981898,0.285035,0.60407,0.236578,0.142251,0.366211,0.64458,0.360935,6.941783,3.184207,1.563192,1.125496
BMP6P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMP7,4.444013,1.210021,0.0,6.780738,1.801975,7.205341,1.40287,4.237691,0.115478,0.0,0.0,0.0
BMP7-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMP8A,5.280024,1.023361,3.72169,7.974516,3.078093,4.952681,6.523044,4.486144,2.321672,1.015379,3.516031,2.929706
BMP8B,0.618428,0.120629,0.495904,1.370729,0.146591,2.272568,0.625447,0.908346,0.158068,0.102033,0.641846,0.0
BMPER,0.721608,2.90448,0.058183,0.401028,0.062299,13.206142,1.059938,0.132158,9.662923,0.308771,0.0,12.081511
BMPR1A,15.879757,14.079337,26.914319000000003,7.103565,7.562947,21.84457,11.475642,7.577206,21.422664,15.718649,1.186138,7.513778999999999
BMPR1AP1,1.687478,2.962506,4.392033,2.280567,1.780086,2.566223,1.954703,1.346473,3.79023,2.77951,0.0,1.323314
BMPR1AP2,10.258139,17.219786,18.197603,10.986223,7.913833,11.968351,10.209704,11.718498,28.031314,14.568843,3.831307,3.996697
BMPR1B,655.708049,178.018284,9.996594,216.733447,0.269051,4.289968,97.6282,115.337891,22.592157,0.947457,0.0,70.685624
BMPR1B-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMPR2,40.336782,40.307352,29.844594,26.920619,14.298546,61.322611,37.079582,20.63701,28.476383,41.768031,1.523922,29.38996
BMS1,15.509021,13.038684,14.573178,15.722052,9.347548,8.96736,9.944265,9.841781,11.619256,15.817055,1.764449,4.983004
