ID_REF,GSM4190059,GSM4190065,GSM4190066,GSM4190068,GSM4190071,GSM4190078,GSM4190079,GSM4190080,GSM4190082
CCND3,9.740415998,10.05203166,8.868807091,8.739783326,8.624596598,8.215730949,9.4458642,8.35876657,8.970524712
CCR1,8.542384025,8.254666411,7.682067339,7.713518966,8.062388587,7.806078494,7.445595336,8.1670553,7.77184593
CCR2,8.408670476,8.023783907,7.82073321,8.583586579,8.277858864,8.270607674,7.5879601,8.374059117,8.178375157
CCR3,8.712784521,7.818146984,7.610338047,7.618386956,7.213215356,7.789959748,7.985923873,8.381401691,7.743271006
CCR4,9.28801033,7.961186191,7.799593004,7.969582816,7.77184593,7.726580962,7.847959304,8.175550637,7.078744173
CCR5,5.762240037,6.000107683,5.563249981,7.467407138,6.000107683,7.789959748,4.612772809,6.077521732,5.922093136
CCR6,9.877791284,8.894852699,8.270607674,8.02119554,8.246054343,8.405146305,7.847959304,8.534038949,7.437483542
CCR7,6.307535043,5.379811646,6.23371904,6.94728214,6.334851504,6.184601312,6.516027102,5.617059848,5.646926942
CCR9,7.283478003,6.307535043,6.886767175,7.483310234,6.047690794,6.886767175,6.823952225,7.278645263,7.155659982
CCRL2,9.406813051,8.705866398,8.337182927,8.327323137,8.465076388,8.806341871,8.767458951,9.082440928,8.723576294
CD14,9.349242378,10.13043429,11.39669916,10.41186098,11.06683372,11.06683372,10.62209028,10.30213141,10.2095304
CD160,9.027288924,8.224129809,8.462270292,8.071263251,7.735747086,8.185433146,8.215730949,8.702125891,8.68881146
CD163,9.293535789,9.714679171,8.674921176,9.673969563,9.470221313,9.903915217,8.890478689,9.380835365,9.139593148
CD164,12.07754452,11.90414044,11.34178904,10.63705195,11.12961288,10.86511502,11.42107664,10.86511502,10.62209028
CD180,8.614562773,8.552044532,8.26329387,8.265961588,8.302961408,8.510721405,7.985923873,8.970524712,8.471341873
CD19,7.831023454,7.19731174,7.922509822,8.638274971,7.823808246,7.941737216,7.770206633,6.81644691,7.937189802
CD1A,7.369842774,7.374878841,7.414976932,7.320452483,6.924713094,7.155659982,7.313990633,8.153249616,8.294713685
CD1B,3.105249327,2.882611895,3.15399154,3.67714149,3.483829652,3.72762446,2.349687561,3.825212863,2.774662683
CD1C,7.77184593,7.663758768,7.969582816,8.182498568,7.891937288,7.836547902,7.502649071,8.851386346,8.36056093
CD1D,5.207823227,5.762240037,5.699436971,6.438021593,8.756816672,5.89971157,7.502649071,5.956982723,7.302229943
CD1E,8.558403842,7.63987691,8.162842098,7.801434502,7.930440494,7.879518315,7.658986854,8.589329134,8.252629718
CD2,5.434804717,5.40498677,5.40498677,6.394673207,5.922093136,7.041291455,4.612772809,5.769951415,4.805644901
CD200,10.01990331,8.146493393,8.395258851,8.397242293,8.408670476,8.260626152,7.5879601,9.20841465,7.782621462
CD207,9.099933768,7.88554341,8.104981422,7.270193827,7.283478003,7.419642673,6.823952225,8.242576357,7.521594132
CD209,8.528209929,8.446947651,7.901865466,7.703293496,8.149871505,7.53224177,7.38602445,8.446947651,8.536918826
CD22,9.865562831,7.445595336,8.120628477,8.577517186,8.102611804,8.302961408,5.937482809,7.573281131,6.526338062
CD24,14.65435826,12.69274229,13.13313361,10.16589301,12.63820875,10.02495594,9.386742806,8.750195754,11.51571174
CD244,4.113275313,5.762240037,4.991039149,4.498260144,5.100088612,5.508900997,3.047905216,4.84407437,3.72762446
CD247,8.333250409,8.011617537,8.413917482,8.589329134,8.227937838,8.695441096,7.770206633,8.067273418,7.479003044
CD27,7.585755915,7.852897782,7.35207844,8.835577245,8.227937838,8.178375157,7.270193827,6.987129698,6.394673207
