index,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline,Pt18-baseline,Pt19-baseline,Pt20-baseline,Pt23-baseline,Pt24-baseline
LYSMD3,6.926395,11.42125,4.20403,5.445605,1.683125,7.451636667,5.193395,2.55351,1.16145,13.3688,2.455763333,11.7679,2.38602,7.663945,6.177505,2.43851,5.940025
LYSMD4,3.186185,3.16027,3.868315,3.47083,1.88639,1.216739667,5.332025,4.37585,5.21567,1.798505,3.160573333,2.63508,5.08478,3.64256,1.47325,1.342265,2.004855
LYST,131.02,61.73795,6.066865,9.50254,14.1462,13.9291,54.0672,13.6654,11.4511,79.7413,30.69773333,39.85943333,9.25654,28.5412,10.7614,34.07865,34.0463
LYVE1,0.114807,0.594718,1.62138,4.59144,0.7778675,1.079694667,0.7450985,1.00713,0.7692495,0.289903,0.386866,18.9474,1.26599,3.950675,6.11957,0.2037445,0.6574595
LYZ,19.10125,110.912,20.10555,282.29,118.982,53.6734,30.041,9.831775,50.32585,90.4996,249.016,658.6983333,40.8462,824.521,41.26995,1080.89,51.08625
LYZL1,0.0,0.0,0.02894205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256657,0.0
LYZL2,0.0,0.0,0.0,0.0,0.0,0.025441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYZL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYZL6,0.0,0.0,0.0,0.01734165,0.0,0.0,0.0,0.052337,0.0,0.04293495,0.0,0.0287262,0.0,0.0,0.0,0.0,0.0
LZIC,9.455275,15.24655,8.72603,10.073725,4.28508,10.86963333,11.34795,5.833445,8.194375,12.14635,8.27629,23.27626667,8.45286,13.35315,14.63605,6.418275,13.7382
