index,GSM496016,GSM496019,GSM496020,GSM496021,GSM496023,GSM496032,GSM496036,GSM496037,GSM496040,GSM496041,GSM496042,GSM496043
ABCB4,-0.54513096,-1.92198984,-1.8587868,0.36579047,0.809447385,-0.51854015,0.01742195999999996,-0.06849947,-0.7596351800000001,1.33594941,0.08607728,-0.694219519
ABCB5,-1.214003626,-0.6659696480000001,-5.30704915,2.2572294800000003,-0.06926075300000001,-2.92785518,1.24023854,0.12312509999999999,-1.2119646300000002,1.6080276599999999,-1.60332229,0.7035183
ABCB6,1.288450458,-0.85837513,0.029678225000000003,-1.8151865,-1.12774447,0.33269312,0.81308797,-0.2819998,0.100603858,-1.18306485,0.57521815,-0.430084615
ABCB7,0.022221848,0.2732209,0.3464661,-0.30037624,0.10123735,0.29770616,-0.17333229,-0.08069561,-0.017096337,-0.042200267,0.5780251,-0.29697624
ABCB8,0.095441686,-0.63940091,0.18852319,-0.40388873799999997,-1.9788986880000001,0.65014716,1.02656694,-0.0015865260000000048,-0.8022148,-0.06374963,-0.28400042000000003,-1.6702803
ABCB8 /// ASIC3,-1.2274864,-1.1399856,-0.90421134,0.019018909,-0.019387653,-1.2293144,0.21168268,0.64757234,0.02746614,-0.49299228,0.15768033,-0.33388123
ABCB9,-1.4947301999999998,-4.054285,1.68681568,0.763801296,-0.33296108,-0.3217863099999999,-1.5118107900000002,0.36120814,-0.49714630000000004,-1.89124825,-1.9854805569999998,-1.7612518499999998
ABCC1,-0.39796634,-0.71337547,1.5450256,-0.19324416,-0.013555916000000001,0.09536887999999999,0.06707154200000001,0.25217046,0.022441509999999998,0.08882809600000001,-0.50182213,-1.1400744
ABCC10,0.85292044,-0.7727608100000001,-0.71177482,-0.8593637000000001,0.31679092,0.44741484,-0.49078854,0.35282107999999995,-0.029805011,-0.090978107,-0.56723178,-0.27706955
ABCC11,-0.3149915,-0.07778435000000006,-1.17958623,-1.399881567,-2.1274236999999996,-0.7278051300000001,-1.1475889000000001,0.93712644,-1.584934125,-1.80724204,-1.2034668899999998,-1.74457182
ABCC12,1.7737079,-1.48611147,-2.07234044,-0.8354700399999999,0.04010080000000005,-1.13430396,0.9381535,0.7148500999999998,-0.41109891,1.180681485,0.8742747,-2.1345897999999996
ABCC13,0.1301421800000001,0.07777148,-3.54776705,0.5891657000000001,4.23841449,-0.08019739000000015,-2.15402349,2.821694165,-0.2674172870000001,-2.18325681,1.35115039,3.9560701700000003
ABCC2,0.6470516,-2.4097347,-1.6352081,1.4166553,-1.4228328,3.2269819,0.4017162,0.756601,-2.0631475,-2.7674382,-1.4459707,-0.48858756
ABCC3,1.9080535539999999,0.968994967,-1.299408519,-1.0517312639999998,2.3004222399999996,-8.638190900000001,-1.067591615,1.4259591409999999,-1.39594529,-4.79327598,0.03593822000000002,-0.9528187
ABCC4,1.434797006,2.3469038299999996,-4.47221862,-1.4100050710000003,-3.61481246,-2.56576105,1.200972835,0.18078659000000002,-2.03957804,-0.9077214700000001,-0.29077092599999993,-1.184499999
ABCC5,-0.276973337,-0.32516960699999997,0.93573124,-0.0016339209999999965,1.25097854,-0.5903232300000001,-0.5853554599999999,1.1381105599999999,-0.029000239999999997,-0.28369803,0.516557346,-0.7986890000000001
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322,0.6367264,0.38160053,-0.006422717,0.15824476,-0.920933,0.15328707,-0.6441602,0.34405634,-0.5341941,-0.40878025,-0.85030144,0.26199222
ABCC6 /// LOC101930322,1.29630286,-0.22427273999999997,1.1369911,1.865303,-1.2108016000000001,0.68179345,-0.5157457839999999,2.6340890999999997,-0.71836565,-2.21128807,-2.38715382,-0.11927666999999997
ABCC6P1,0.7940476,-0.15583277,-0.3741948,0.26731464,0.2529254,1.5305443,-0.39353296,0.8324307,0.24851885,-2.2590163,-1.4118947,0.1710813
ABCC8,0.14070902,-0.36199481999999994,-0.04477405000000001,-1.3845283,-0.565248952,-0.27837227,-0.09783740000000007,0.6162898099999999,-0.39289072,-0.7205400799999999,-0.16057233999999998,-0.007348779999999999
ABCC9,2.07271926,-2.2469573140000003,-3.78576874,-0.2050861299999998,1.381904276,-0.5999436940000001,2.0763429799999997,-0.8972739799999997,-0.30834561,-1.77194113,0.507700947,-2.941716208
ABCD1,-0.115763485,0.14532335,1.3741193,0.16413678,0.14588964,-0.02198408,-0.4621733,0.7558244,-0.7090038,-1.3437548,0.8950536,-0.049595702
ABCD1P2 /// ABCD1P2,-0.6347656,1.0429733,-0.48321295,0.32746235,-0.7800424,1.2759606,-0.12230047,-0.13072737,-0.5155741,-0.66981834,0.21799143,0.32660693
