,002-064,002-066,001-047,501-053,002-069,002-075,001-043,001-076,001-038,002-070,001-064,502-052,002-074,001-071,502-062,001-078,501-056,002-067,501-059,002-042,301-028,001-046,001-055,301-033
SCAF1,299.9848095233832,247.28047899930507,257.0966952199889,428.2177755320078,470.2452986735177,371.8533685923963,316.9030033684017,398.3808339543005,225.19865139176065,370.89549654261043,317.0549065466039,363.0200335107056,241.9285155692195,333.7797569241001,499.69760907129216,247.4219963781387,221.50378057175675,414.6762957554558,439.3439468171719,216.2536955771944,204.21568333536294,326.7551178869744,218.48941800613005,310.3970614658723
IRF3,123.67948050863156,140.29946087837206,149.61416709566421,190.6416824548602,252.79241869432659,278.97086239652396,163.99409515565966,145.95857748941305,100.50492227238122,199.3267371504921,206.65896196454653,201.31178574960825,152.4438499371826,149.20263261215075,257.17976573675816,146.77457634008286,142.870086183926,171.12261463640988,201.4505547950486,142.25673208650176,0.0,201.11139455021382,65.22284932885489,199.206280114581
BCL2L12,22.26970034326205,33.47130639955776,24.49555301808168,69.35924658717042,94.78772924167694,74.203185470344,45.239685122263666,54.5072517061156,13.408352774441406,37.63964154821388,52.46858092453546,48.46281864412488,26.56176167138915,35.92867226680451,81.94768112057818,20.193095199315326,59.13575769429094,49.48421617534668,39.04553870099521,104.94727261240477,205.6901648034883,58.95145991627819,8.17080293058275,0.0
PRMT1,79.70198602658145,80.05657310460876,73.73006774264108,199.55664561844728,165.5465172860681,180.759464306887,154.2845927736916,198.3816376716017,51.627936037257015,103.76904903447812,160.30973022920196,185.4886889386563,104.31971285285363,171.66429766652547,199.30438811184584,110.48205722167728,110.12310507318585,120.85398107497394,189.43110810983248,174.75082543958013,285.118476983651,178.87273984275794,118.0420929797939,157.58728664610518
MIR5088,0.0,0.0,0.0,0.0,0.0,13.173710863826493,20.142885720501564,0.0,0.0,0.0,7.7056382350567025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADM5,13.63223266015591,12.69814678172636,6.319225318750757,18.79507273911056,19.22390449619238,17.567503835288996,18.52488907939026,11.89817110762312,17.295058060629895,18.610955087595702,7.4410092153428815,11.195969570522552,4.468861456481122,13.750235509392773,16.828181454840003,16.537464738135064,15.024366843556049,18.236657748971936,16.787914971169073,74.06957988845717,265.313972761659,18.404545859983664,15.45762454294801,0.0
CPT1C,145.77701456691622,108.63065351183012,38.34979095580786,220.2587651145426,156.5725389324602,115.18235499646113,124.82818333612325,160.50781127072878,83.60556119452175,141.05451391016078,82.94467787090963,133.80192368684934,84.4473067623004,111.00652459591335,122.02296888651506,154.43592102510212,64.67186597899563,100.03036219390714,81.15399483078609,213.2632097708125,0.0,201.91826545354397,101.0719776425437,64.44309573283769
TSKS,2.473613826589338,29.492746830257218,1.3104507330090893,4.911016724835276,46.32384347663805,0.43968025274283606,11.428768704112208,1.9626932790736762,0.0,8.809616146054285,0.7715404569955381,4.740273554960717,5.405931546426255,0.3696334570269725,7.252132169530093,2.4006222577199865,57.04093569047453,7.721238068199425,0.0,157.57441765528023,0.0,1.7576662546112076,1.5299112204623047,0.0
AP2A1,173.06541528163459,115.66126085614779,133.66304226872953,281.02692997540294,231.80066677299547,219.39504724478908,167.82116665069245,233.19107061184036,126.16222867592377,196.064204593116,179.67560496955488,231.67770323672326,157.26812724682927,173.90011295614937,245.72036845311368,145.41506232926045,149.01712454889528,171.28229570499082,180.38435467816518,134.95291861120435,52.30771232551413,193.17147481975545,120.51606140256364,144.5544768485044
MIR6799,0.0,0.0,67.43123663114162,0.0,38.29178889792291,30.165888644704143,46.12428904114851,0.0,0.0,0.0,8.822397399557675,11.615142344298155,0.0,0.0,13.093666548648155,51.469863079920366,28.775766150757295,25.225908222813032,0.0,127.18794427623132,0.0,12.059118912071677,17.4942022165907,0.0
FUZ,81.0092672476209,48.75778758165894,97.68737904098336,86.16481121924839,133.76191953150143,194.5408680493551,102.38561282246138,109.49555415275667,63.72562199064014,91.32764680067356,51.74233002470008,82.5056640074494,55.89784477414264,54.8122731679059,89.33667240845344,81.2990278868881,61.858639866240196,98.72957476639404,68.36825785414129,173.8551090656985,463.06407572420943,122.57177587058293,53.957735790283806,85.31308576077666
MED25,67.38945335983675,74.39332339975977,70.85414204388992,119.52697519551255,131.71119422171142,152.79652772319488,107.49426752912723,124.68336681780505,85.72643057194601,119.96282372286915,93.09851219173999,111.82465819641364,82.10788891582372,90.64665165366962,133.70264502682463,70.35353482919533,75.46194668820225,100.24860637941416,127.63447732603511,127.36176614462914,177.98102507010157,174.04025541158973,48.86217432849405,81.97629254574171
PTOV1-AS1,45.37405307360143,43.59968970650712,67.52749821091484,74.67479606649957,127.92627975498087,155.74943291325297,71.93545435753711,88.42626679167054,64.80331652585133,89.30347502231473,52.140935380683466,64.45118956786142,59.97574290190379,42.67406388781418,70.50579617630383,59.99306667345464,65.66461412132125,53.42274782090383,109.79448173387948,87.69704080716592,108.44858558280517,183.52068117364755,36.18715062361159,179.82122930162274
PTOV1,151.93876871429845,133.19039728691953,148.53646941911822,199.9571283020863,252.15932974192407,247.17611406760932,164.41351739390944,218.1809120494582,154.49516977407362,215.21558300958048,134.675479659702,156.2024291984464,138.64663906193476,152.32630723055885,190.4818820469474,141.17522156087517,115.22855435813143,143.9298423373752,237.04130461304175,100.83089879597574,76.45243294272562,251.63347978767212,86.65528008392427,232.40732680034455
MIR4749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
